scaffold,start,end,mid,sites,pi_VDESAC,pi_VDESAM,pi_VJACAC,pi_VJACAM,pi_VJACAN,dxy_VDESAC_VDESAM,dxy_VDESAC_VJACAC,dxy_VDESAC_VJACAM,dxy_VDESAC_VJACAN,dxy_VDESAM_VJACAC,dxy_VDESAM_VJACAM,dxy_VDESAM_VJACAN,dxy_VJACAC_VJACAM,dxy_VJACAC_VJACAN,dxy_VJACAM_VJACAN,Fst_VDESAC_VDESAM,Fst_VDESAC_VJACAC,Fst_VDESAC_VJACAM,Fst_VDESAC_VJACAN,Fst_VDESAM_VJACAC,Fst_VDESAM_VJACAM,Fst_VDESAM_VJACAN,Fst_VJACAC_VJACAM,Fst_VJACAC_VJACAN,Fst_VJACAM_VJACAN
NW_019211454.1,9860001,9910000,9883963,17642,0.001,0.0002,0.0009,0.0005,0.0008,0.0009,0.003,0.0031,0.003,0.0031,0.0032,0.0031,0.001,0.001,0.001,0.229,0.5146,0.6014,0.3966,0.6954,0.8303,0.7264,0.1526,0.0381,0.1849
NW_019211454.1,9880001,9930000,9904964,16210,0.0011,0.0003,0.0011,0.0005,0.0005,0.0009,0.0041,0.0042,0.0041,0.0039,0.004,0.0039,0.001,0.0009,0.0007,0.1482,0.5818,0.6663,0.4974,0.7051,0.8326,0.7529,0.1052,0.0292,0.1484
NW_019211454.1,9900001,9950000,9926304,17023,0.0017,0.0004,0.0011,0.0005,0.0004,0.0015,0.0054,0.0054,0.0052,0.0052,0.0053,0.0051,0.0011,0.0009,0.0007,0.18,0.5862,0.6329,0.4539,0.7422,0.836,0.7511,0.1082,0.0237,0.1358
NW_019211454.1,9920001,9970000,9945582,18675,0.0019,0.0004,0.0011,0.0004,0.0002,0.0018,0.0049,0.005,0.0047,0.005,0.0051,0.0048,0.0011,0.0009,0.0005,0.2491,0.5483,0.5968,0.4107,0.7479,0.851,0.7797,0.1441,0.0532,0.1487
NW_019211454.1,9940001,9990000,9964135,17926,0.0019,0.0003,0.0012,0.0006,0.0004,0.0018,0.0044,0.0047,0.0045,0.0044,0.0047,0.0045,0.0014,0.0012,0.0009,0.2781,0.4902,0.5592,0.3848,0.709,0.8313,0.7815,0.1675,0.0833,0.1734
NW_019211454.1,9960001,10010000,9984229,16982,0.0017,0.0003,0.001,0.0007,0.0006,0.0018,0.0045,0.0048,0.0046,0.0047,0.005,0.0048,0.0013,0.0013,0.0011,0.2906,0.534,0.5766,0.4002,0.7464,0.8249,0.7637,0.1715,0.1024,0.1794
NW_019211454.1,9980001,10030000,10004938,17116,0.002,0.0003,0.0014,0.0008,0.0009,0.0019,0.0053,0.0053,0.0053,0.0054,0.0055,0.0054,0.0015,0.0017,0.0012,0.2593,0.5184,0.5648,0.3915,0.7232,0.8222,0.7567,0.1163,0.0806,0.1142
NW_019211454.1,10000001,10050000,10026461,16968,0.0021,0.0003,0.0017,0.0009,0.0011,0.0019,0.006,0.0059,0.006,0.0063,0.0062,0.0063,0.0017,0.002,0.0014,0.2455,0.5131,0.5769,0.408,0.7129,0.8331,0.7699,0.108,0.0748,0.1442
NW_019211454.1,10020001,10070000,10044806,18395,0.0024,0.0005,0.002,0.001,0.001,0.0022,0.0064,0.0063,0.0063,0.0065,0.0065,0.0064,0.0018,0.0019,0.0013,0.2275,0.4946,0.5614,0.3916,0.683,0.8065,0.7305,0.0886,0.05,0.1116
NW_019211454.1,10040001,10090000,10064997,18237,0.0021,0.0006,0.0017,0.001,0.001,0.002,0.0061,0.0064,0.0063,0.0061,0.0065,0.0064,0.0018,0.0017,0.0014,0.192,0.52,0.595,0.4196,0.6749,0.7822,0.6745,0.1174,0.0459,0.1278
NW_019211454.1,10060001,10110000,10085729,18183,0.0022,0.0007,0.0017,0.0012,0.0011,0.0021,0.0061,0.0065,0.0063,0.0063,0.0067,0.0065,0.0019,0.0019,0.0018,0.1761,0.5198,0.573,0.4126,0.6708,0.7472,0.6453,0.1079,0.0653,0.1656
NW_019211454.1,10080001,10130000,10104533,18770,0.0019,0.0005,0.0016,0.0012,0.0007,0.0018,0.0056,0.0058,0.0057,0.0059,0.006,0.006,0.0017,0.0018,0.0017,0.2125,0.5284,0.5672,0.4385,0.6951,0.7633,0.7189,0.0943,0.0941,0.2099
NW_019211454.1,10100001,10150000,10125263,17971,0.0021,0.0004,0.0015,0.0012,0.0005,0.0019,0.0061,0.0061,0.0063,0.0063,0.0063,0.0065,0.0016,0.0018,0.0017,0.2193,0.5442,0.5619,0.4474,0.7282,0.7896,0.7845,0.0709,0.1181,0.234
NW_019211454.1,10120001,10170000,10144265,17866,0.0023,0.0006,0.0013,0.0011,0.0004,0.0022,0.0063,0.0065,0.0063,0.0064,0.0066,0.0065,0.0014,0.0014,0.0012,0.2244,0.5701,0.567,0.4343,0.7438,0.7734,0.7324,0.0742,0.0988,0.1462
NW_019211454.1,10140001,10190000,10164776,17113,0.0024,0.0007,0.0017,0.0014,0.0006,0.0022,0.0069,0.007,0.007,0.0067,0.0069,0.0069,0.0019,0.0017,0.0015,0.1791,0.5456,0.5584,0.4386,0.7028,0.7477,0.7144,0.0884,0.089,0.1448
NW_019211454.1,10160001,10210000,10185639,16387,0.0026,0.0006,0.0017,0.0015,0.0005,0.0023,0.0065,0.0068,0.0066,0.0062,0.0065,0.0063,0.002,0.0016,0.0014,0.1865,0.507,0.5264,0.3992,0.6825,0.7375,0.7108,0.1013,0.0735,0.1058
NW_019211454.1,10180001,10230000,10205253,16858,0.0023,0.0005,0.0014,0.001,0.0006,0.0019,0.0054,0.0057,0.0058,0.0052,0.0055,0.0055,0.0016,0.0016,0.0012,0.1678,0.4918,0.5287,0.385,0.6901,0.7734,0.7257,0.127,0.0897,0.1472
NW_019211454.1,10200001,10250000,10224669,17133,0.0022,0.0004,0.0012,0.0007,0.0007,0.0019,0.0051,0.0053,0.0055,0.0049,0.0052,0.0054,0.0012,0.0014,0.001,0.1911,0.5138,0.5476,0.3888,0.721,0.8033,0.7285,0.1024,0.0933,0.1396
NW_019211454.1,10220001,10270000,10245839,17865,0.0023,0.0008,0.0012,0.0009,0.0004,0.0023,0.0058,0.0061,0.0061,0.0061,0.0064,0.0064,0.0012,0.0012,0.0009,0.1901,0.5485,0.5573,0.4199,0.722,0.7528,0.6735,0.0716,0.0926,0.1082
NW_019211454.1,10240001,10290000,10265305,18303,0.0021,0.0008,0.0015,0.0012,0.0004,0.002,0.0068,0.0068,0.0067,0.007,0.007,0.0069,0.0015,0.0014,0.0011,0.1637,0.5795,0.5892,0.4711,0.7117,0.7429,0.6839,0.0386,0.0767,0.0957
NW_019211454.1,10260001,10310000,10284904,19095,0.0024,0.0008,0.0016,0.0012,0.0004,0.0022,0.0069,0.0071,0.0071,0.0069,0.0071,0.0071,0.0016,0.0018,0.0013,0.1635,0.5537,0.579,0.4554,0.6982,0.7511,0.6961,0.0584,0.1106,0.1515
NW_019211454.1,10280001,10330000,10305149,18310,0.0026,0.0007,0.0017,0.0012,0.0004,0.0023,0.0065,0.0068,0.0068,0.0064,0.0067,0.0066,0.0017,0.0018,0.0012,0.18,0.5081,0.5439,0.413,0.6833,0.7574,0.7137,0.0789,0.1026,0.1433
NW_019211454.1,10300001,10350000,10325594,18729,0.003,0.0008,0.0015,0.0011,0.0003,0.0028,0.0065,0.0067,0.0068,0.0063,0.0066,0.0066,0.0015,0.0015,0.0011,0.1948,0.4948,0.5132,0.3751,0.694,0.7511,0.6881,0.0859,0.1012,0.1495
NW_019211454.1,10320001,10370000,10344915,19369,0.0029,0.0006,0.0013,0.0009,0.0002,0.0025,0.0063,0.0064,0.0065,0.0059,0.0061,0.0061,0.0013,0.0013,0.0009,0.1915,0.514,0.5199,0.3775,0.7187,0.7727,0.7221,0.0722,0.0918,0.1338
NW_019211454.1,10340001,10390000,10364909,19049,0.0026,0.0006,0.0013,0.0009,0.0003,0.0024,0.0065,0.0066,0.0067,0.0064,0.0064,0.0065,0.0013,0.0013,0.0009,0.1954,0.5495,0.5495,0.4114,0.7395,0.7818,0.7336,0.0779,0.0956,0.1314
NW_019211454.1,10360001,10410000,10384976,19897,0.0022,0.0005,0.0014,0.0009,0.0003,0.0021,0.0058,0.0058,0.0057,0.0058,0.0058,0.0058,0.0014,0.0013,0.0008,0.2114,0.5334,0.5558,0.4201,0.7175,0.784,0.7452,0.089,0.0808,0.0856
NW_019211454.1,10380001,10430000,10404323,18989,0.002,0.0005,0.0013,0.0007,0.0002,0.0019,0.0056,0.0056,0.0056,0.0057,0.0057,0.0058,0.0012,0.0012,0.0008,0.1959,0.5524,0.5876,0.4427,0.7266,0.8019,0.7433,0.0992,0.0994,0.1564
NW_019211454.1,10400001,10450000,10424102,18326,0.002,0.0005,0.0013,0.0009,0.0003,0.0016,0.0063,0.0064,0.0064,0.006,0.0061,0.0061,0.0013,0.0014,0.0011,0.1371,0.5964,0.6206,0.4868,0.744,0.8089,0.7773,0.0731,0.1187,0.2219
NW_019211454.1,10420001,10470000,10445810,18324,0.0021,0.0006,0.0014,0.0009,0.0004,0.0017,0.0066,0.0067,0.0067,0.0065,0.0066,0.0066,0.0014,0.0016,0.0012,0.1452,0.5902,0.6265,0.4823,0.7309,0.8024,0.7416,0.0922,0.1166,0.2387
NW_019211454.1,10440001,10490000,10464893,19133,0.0021,0.0005,0.0014,0.0008,0.0004,0.0018,0.0056,0.0057,0.0058,0.0054,0.0055,0.0056,0.0014,0.0016,0.0011,0.1865,0.5309,0.5777,0.429,0.7043,0.7992,0.7454,0.1099,0.1262,0.2244
NW_019211454.1,10460001,10510000,10483641,18014,0.002,0.0006,0.0014,0.0007,0.0005,0.0019,0.0055,0.0055,0.0057,0.0055,0.0055,0.0057,0.0014,0.0016,0.001,0.1906,0.5269,0.579,0.4301,0.6846,0.7754,0.6867,0.1124,0.1205,0.1781
NW_019211454.1,10480001,10530000,10503911,17353,0.0019,0.001,0.0013,0.0009,0.0004,0.0021,0.0058,0.0058,0.0061,0.0062,0.0061,0.0064,0.0012,0.0016,0.0014,0.1922,0.5748,0.595,0.474,0.6836,0.7138,0.6133,0.054,0.1401,0.2487
NW_019211454.1,10500001,10550000,10525800,17492,0.002,0.001,0.0014,0.0009,0.0003,0.0022,0.0053,0.0053,0.0055,0.0055,0.0055,0.0057,0.0013,0.0017,0.0014,0.194,0.526,0.5571,0.4404,0.6432,0.6869,0.593,0.0422,0.1397,0.2683
NW_019211454.1,10520001,10570000,10542090,15653,0.0016,0.0006,0.0013,0.001,0.0002,0.0016,0.0046,0.0048,0.0046,0.0047,0.0048,0.0047,0.0014,0.0014,0.0012,0.202,0.5185,0.5611,0.4522,0.6556,0.7222,0.6842,0.0636,0.1163,0.2068
NW_019211454.1,10540001,10590000,10563864,14529,0.002,0.0005,0.0017,0.001,0.0002,0.0018,0.0054,0.0057,0.005,0.0053,0.0056,0.0049,0.0018,0.0014,0.0014,0.1872,0.4948,0.5706,0.418,0.6473,0.7616,0.7121,0.1314,0.0775,0.2633
NW_019211454.1,10560001,10610000,10590476,14238,0.0023,0.0005,0.0017,0.0007,0.0002,0.0021,0.0059,0.0062,0.0055,0.0058,0.0061,0.0054,0.0018,0.0014,0.0011,0.2118,0.4985,0.5796,0.3917,0.6799,0.813,0.7351,0.1618,0.0631,0.2655
NW_019211454.1,10580001,10630000,10604975,18875,0.0025,0.0005,0.0017,0.0008,0.0002,0.0023,0.0065,0.0067,0.0065,0.0065,0.0067,0.0065,0.0018,0.0016,0.0013,0.2304,0.514,0.5858,0.424,0.7053,0.8309,0.7877,0.1454,0.0905,0.2992
NW_019211454.1,10600001,10650000,10623636,17304,0.002,0.0003,0.0013,0.0006,0.0002,0.0018,0.0049,0.005,0.0051,0.0049,0.0049,0.0051,0.0012,0.0014,0.0011,0.2365,0.504,0.5612,0.4169,0.7105,0.8301,0.8054,0.106,0.1178,0.3207
NW_019211454.1,10620001,10670000,10646148,16440,0.0022,0.0003,0.0013,0.0007,0.0005,0.002,0.005,0.005,0.0052,0.005,0.005,0.0052,0.0012,0.0013,0.0011,0.2259,0.493,0.5295,0.3736,0.7146,0.8165,0.7672,0.0881,0.079,0.2008
NW_019211454.1,10640001,10690000,10663948,17742,0.0021,0.0003,0.0012,0.0007,0.0008,0.0018,0.0051,0.0052,0.0052,0.005,0.0051,0.005,0.0012,0.0013,0.0011,0.2169,0.5143,0.5579,0.3738,0.7224,0.8274,0.7436,0.103,0.0443,0.164
NW_019211454.1,10660001,10710000,10684930,16963,0.002,0.0004,0.0016,0.0008,0.001,0.0018,0.0061,0.0061,0.006,0.0061,0.0062,0.006,0.0015,0.0016,0.0014,0.2111,0.5454,0.6044,0.4196,0.7166,0.8238,0.7295,0.1029,0.0434,0.176
NW_019211454.1,10680001,10730000,10704873,17339,0.0022,0.0004,0.0016,0.0009,0.0009,0.0019,0.0067,0.0069,0.0066,0.0065,0.0068,0.0064,0.0017,0.0017,0.0017,0.2025,0.566,0.6149,0.4359,0.7291,0.8215,0.7437,0.1199,0.0633,0.238
NW_019211454.1,10700001,10750000,10725805,17436,0.0021,0.0004,0.0012,0.0007,0.0007,0.0017,0.0059,0.006,0.0056,0.0057,0.0059,0.0054,0.0013,0.0014,0.0016,0.1816,0.5649,0.6023,0.4064,0.7471,0.8338,0.7499,0.1222,0.0782,0.3129
NW_019211454.1,10720001,10770000,10744107,17583,0.0019,0.0003,0.0012,0.0007,0.0007,0.0016,0.0051,0.0053,0.0048,0.005,0.0052,0.0046,0.0013,0.0013,0.0016,0.1908,0.5387,0.5836,0.3805,0.7356,0.8305,0.7532,0.1393,0.0797,0.3295
NW_019211454.1,10740001,10790000,10765319,17898,0.0019,0.0003,0.0011,0.0006,0.0008,0.0017,0.0056,0.0056,0.0055,0.0057,0.0058,0.0057,0.0012,0.0012,0.0012,0.2239,0.5794,0.6155,0.4197,0.7768,0.8643,0.7832,0.1333,0.0504,0.2164
NW_019211454.1,10760001,10810000,10785569,17642,0.002,0.0004,0.0013,0.0006,0.0007,0.0019,0.0059,0.0058,0.0059,0.006,0.0059,0.0059,0.0013,0.0012,0.0011,0.2351,0.5642,0.6054,0.4262,0.7482,0.8447,0.7666,0.122,0.0379,0.1831
NW_019211454.1,10780001,10830000,10803646,17444,0.0023,0.0004,0.0013,0.0007,0.0007,0.0022,0.0062,0.0061,0.0063,0.0062,0.0061,0.0063,0.0014,0.0014,0.001,0.2619,0.5549,0.5883,0.419,0.7453,0.8339,0.7582,0.1317,0.0608,0.1318
NW_019211454.1,10800001,10850000,10824324,16311,0.0022,0.0005,0.0015,0.0007,0.0007,0.0023,0.0058,0.0059,0.0057,0.006,0.0061,0.0059,0.0017,0.0016,0.0011,0.2595,0.5177,0.5791,0.3982,0.7016,0.8095,0.7129,0.1608,0.0669,0.1642
NW_019211454.1,10820001,10870000,10846936,16961,0.0021,0.0006,0.0015,0.0007,0.0006,0.0021,0.005,0.0051,0.0048,0.0051,0.0053,0.005,0.0015,0.0013,0.001,0.2202,0.476,0.5484,0.3578,0.6689,0.7876,0.6727,0.1496,0.0529,0.1696
NW_019211454.1,10840001,10890000,10865229,18272,0.0015,0.0004,0.0012,0.0004,0.0003,0.0014,0.0035,0.0037,0.0034,0.0034,0.0036,0.0034,0.0011,0.001,0.0007,0.2055,0.4577,0.5695,0.3691,0.6328,0.805,0.6836,0.1612,0.0447,0.2652
NW_019211454.1,10860001,10910000,10885009,18656,0.0014,0.0003,0.0014,0.0006,0.0007,0.0012,0.0044,0.0045,0.0044,0.0041,0.0042,0.0041,0.0014,0.0013,0.0009,0.1842,0.5169,0.6135,0.431,0.6577,0.8111,0.7192,0.1385,0.0369,0.129
NW_019211454.1,10880001,10930000,10905221,18230,0.0021,0.0003,0.0014,0.0007,0.0007,0.0016,0.0065,0.0063,0.0063,0.006,0.0059,0.0059,0.0013,0.0013,0.0009,0.1529,0.5841,0.6199,0.441,0.7534,0.8545,0.7908,0.1183,0.0445,0.1146
NW_019211454.1,10900001,10950000,10925486,19554,0.0021,0.0003,0.0012,0.0006,0.0007,0.0017,0.0066,0.0064,0.0064,0.0063,0.0061,0.0061,0.0012,0.0012,0.0009,0.1862,0.603,0.6266,0.4461,0.7774,0.8614,0.7926,0.0998,0.0452,0.1425
NW_019211454.1,10920001,10970000,10945005,19329,0.0022,0.0003,0.0014,0.0008,0.0007,0.002,0.0062,0.006,0.0061,0.0063,0.0061,0.0062,0.0014,0.0014,0.001,0.2405,0.5604,0.5822,0.4222,0.7543,0.8338,0.7901,0.1109,0.0675,0.0772
NW_019211454.1,10940001,10990000,10963991,18393,0.0023,0.0004,0.0013,0.0009,0.0007,0.0021,0.0059,0.0059,0.006,0.0061,0.0061,0.0062,0.0014,0.0014,0.0009,0.243,0.5491,0.5611,0.4068,0.7569,0.818,0.7691,0.1132,0.0785,0.0371
NW_019211454.1,10960001,11010000,10984742,17711,0.0023,0.0004,0.0015,0.0009,0.0006,0.002,0.0064,0.0065,0.0067,0.0064,0.0066,0.0067,0.0015,0.0015,0.0009,0.2116,0.5473,0.5814,0.4345,0.7457,0.8321,0.8075,0.0984,0.0764,0.0582
NW_019211454.1,10980001,11030000,11005864,17811,0.0024,0.0003,0.0013,0.001,0.0008,0.0021,0.0069,0.0071,0.0072,0.0069,0.007,0.0072,0.0014,0.0015,0.0011,0.2227,0.5829,0.5986,0.4406,0.7796,0.8449,0.8108,0.0988,0.0746,0.0807
NW_019211454.1,11000001,11050000,11024955,17596,0.0032,0.0004,0.0015,0.001,0.001,0.0027,0.0088,0.009,0.0088,0.0085,0.0087,0.0085,0.0015,0.0015,0.0014,0.2102,0.5883,0.5997,0.4165,0.7928,0.8574,0.8017,0.0738,0.0462,0.1319
NW_019211454.1,11020001,11070000,11045368,18148,0.0032,0.0005,0.0014,0.0008,0.001,0.0028,0.0086,0.0086,0.0086,0.0084,0.0085,0.0084,0.0013,0.0015,0.0014,0.2154,0.5919,0.5962,0.4083,0.7966,0.854,0.7728,0.0583,0.0488,0.1731
NW_019211454.1,11040001,11090000,11065286,18640,0.0026,0.0005,0.0011,0.0007,0.0006,0.0024,0.0068,0.0068,0.0068,0.0068,0.0067,0.0068,0.001,0.0011,0.0009,0.2318,0.5824,0.5852,0.4081,0.7861,0.8427,0.7645,0.0444,0.0391,0.1394
NW_019211454.1,11060001,11110000,11085006,19122,0.002,0.0004,0.001,0.0006,0.0006,0.002,0.0059,0.0058,0.0059,0.006,0.006,0.006,0.0009,0.001,0.0009,0.2557,0.598,0.6055,0.4367,0.7847,0.8385,0.7674,0.0434,0.0433,0.1247
NW_019211454.1,11080001,11130000,11104690,19224,0.002,0.0004,0.001,0.0006,0.0006,0.0019,0.0053,0.0053,0.0053,0.0054,0.0054,0.0054,0.0009,0.001,0.0008,0.2406,0.5747,0.5852,0.4162,0.7664,0.8253,0.7489,0.056,0.0455,0.1132
NW_019211454.1,11100001,11150000,11125418,19262,0.0024,0.0005,0.0013,0.0008,0.0007,0.0023,0.0059,0.0058,0.0058,0.006,0.006,0.0059,0.0013,0.0013,0.001,0.242,0.5302,0.5521,0.3811,0.7394,0.8163,0.7407,0.0885,0.0553,0.1002
NW_019211454.1,11120001,11170000,11145390,18825,0.0024,0.0004,0.0015,0.001,0.0008,0.0021,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0016,0.0016,0.0012,0.2135,0.5135,0.5382,0.3829,0.7178,0.7999,0.7549,0.1096,0.073,0.1072
NW_019211454.1,11140001,11190000,11164536,18554,0.0023,0.0004,0.0016,0.0011,0.0009,0.0021,0.0062,0.0062,0.0063,0.0061,0.0062,0.0063,0.0017,0.0018,0.0013,0.2319,0.5285,0.5593,0.4053,0.716,0.798,0.7456,0.1033,0.0781,0.0841
NW_019211454.1,11160001,11210000,11183756,17257,0.0021,0.0004,0.0016,0.0009,0.0012,0.0018,0.0067,0.0068,0.0071,0.0063,0.0065,0.0067,0.0016,0.0019,0.0015,0.1984,0.5702,0.6178,0.4532,0.7294,0.8276,0.7629,0.097,0.0723,0.1378
NW_019211454.1,11180001,11230000,11205045,17207,0.0022,0.0005,0.0016,0.0009,0.0011,0.0022,0.0074,0.0074,0.0077,0.0075,0.0076,0.0079,0.0016,0.0019,0.0015,0.233,0.5898,0.6345,0.4676,0.749,0.8333,0.7506,0.0999,0.0722,0.1594
NW_019211454.1,11200001,11250000,11225321,17428,0.0024,0.0006,0.0016,0.0009,0.0008,0.0024,0.0082,0.0084,0.0084,0.0085,0.0087,0.0087,0.0016,0.0016,0.0013,0.2499,0.612,0.6564,0.4922,0.7656,0.8424,0.7664,0.1197,0.0615,0.1657
NW_019211454.1,11220001,11270000,11245148,17367,0.0022,0.0006,0.0015,0.0008,0.0006,0.0022,0.0076,0.0077,0.0075,0.0079,0.008,0.0078,0.0015,0.0014,0.0011,0.2401,0.6155,0.6569,0.4912,0.7681,0.8411,0.7678,0.1352,0.0682,0.1705
NW_019211454.1,11240001,11290000,11265235,18029,0.0022,0.0008,0.0013,0.0007,0.0005,0.0023,0.007,0.0071,0.0071,0.0071,0.0071,0.0071,0.0013,0.0014,0.0009,0.2019,0.6116,0.6401,0.4733,0.7437,0.7993,0.6858,0.1234,0.1011,0.1733
NW_019211454.1,11260001,11310000,11284928,17821,0.0021,0.0009,0.0013,0.0008,0.0005,0.0021,0.0059,0.0062,0.006,0.0058,0.0061,0.0059,0.0014,0.0015,0.0012,0.1636,0.5571,0.5995,0.437,0.68,0.7438,0.622,0.1208,0.1042,0.2162
NW_019211454.1,11280001,11330000,11304141,17387,0.002,0.0007,0.0014,0.001,0.0004,0.0018,0.0058,0.006,0.0057,0.0055,0.0057,0.0054,0.0015,0.0014,0.0015,0.1425,0.5515,0.5838,0.4355,0.6806,0.7409,0.6553,0.102,0.0968,0.2567
NW_019211454.1,11300001,11350000,11325038,17232,0.0023,0.0008,0.0019,0.0013,0.0004,0.002,0.0073,0.0076,0.0074,0.0071,0.0074,0.0072,0.0021,0.002,0.0016,0.1463,0.5512,0.6001,0.478,0.68,0.7567,0.7095,0.1185,0.11,0.1913
NW_019211454.1,11320001,11370000,11345828,17916,0.0025,0.0008,0.0019,0.0012,0.0005,0.0023,0.0073,0.0075,0.0076,0.0075,0.0077,0.0078,0.002,0.0022,0.0016,0.1835,0.5455,0.5918,0.4629,0.6965,0.771,0.7107,0.1272,0.136,0.2223
NW_019211454.1,11340001,11390000,11365605,19186,0.0019,0.0005,0.0017,0.001,0.0004,0.0018,0.0055,0.0056,0.0056,0.0057,0.0058,0.0058,0.0018,0.0021,0.0018,0.209,0.5016,0.5711,0.4479,0.6663,0.775,0.7409,0.1256,0.1382,0.3081
NW_019211454.1,11360001,11410000,11384580,19451,0.002,0.0003,0.0016,0.0008,0.0004,0.0018,0.0045,0.0046,0.0043,0.0047,0.0049,0.0046,0.0017,0.0017,0.0015,0.2488,0.4285,0.5165,0.3608,0.6586,0.8077,0.7933,0.1376,0.1049,0.3114
NW_019211454.1,11380001,11430000,11403277,17605,0.0019,0.0003,0.0018,0.0008,0.0004,0.0017,0.0054,0.0053,0.0051,0.0054,0.0053,0.0052,0.0017,0.0016,0.0013,0.2213,0.4924,0.579,0.428,0.6693,0.819,0.799,0.1102,0.08,0.268
NW_019211454.1,11400001,11450000,11424777,16627,0.0023,0.0004,0.0019,0.0011,0.0005,0.002,0.0068,0.0069,0.0067,0.0068,0.0069,0.0067,0.002,0.0018,0.0017,0.2127,0.5308,0.5926,0.4478,0.7004,0.8127,0.7911,0.121,0.0733,0.2425
NW_019211454.1,11420001,11470000,11445349,16331,0.0025,0.0005,0.0019,0.0012,0.0005,0.0023,0.0071,0.0071,0.0069,0.0071,0.0072,0.007,0.002,0.0017,0.0014,0.2299,0.5263,0.5685,0.4314,0.7089,0.8015,0.7887,0.111,0.0702,0.1712
NW_019211454.1,11440001,11490000,11465519,17229,0.003,0.0006,0.0018,0.0011,0.0004,0.0026,0.0071,0.0072,0.0073,0.007,0.0071,0.0072,0.0019,0.0018,0.0012,0.1937,0.5042,0.5333,0.3943,0.7074,0.7895,0.7548,0.1139,0.0916,0.1414
NW_019211454.1,11460001,11510000,11485455,17792,0.003,0.0006,0.0019,0.001,0.0004,0.0027,0.0072,0.0072,0.0072,0.0073,0.0073,0.0074,0.0017,0.0018,0.0011,0.2113,0.5059,0.5443,0.3973,0.7065,0.799,0.7493,0.0817,0.0841,0.1499
NW_019211454.1,11480001,11530000,11505080,18736,0.0029,0.0005,0.0018,0.0011,0.0004,0.0025,0.0068,0.007,0.0069,0.0067,0.0069,0.0068,0.0019,0.0017,0.0014,0.2065,0.4946,0.5349,0.3903,0.7026,0.7986,0.7705,0.1094,0.085,0.1822
NW_019211454.1,11500001,11550000,11524658,17788,0.0024,0.0004,0.0016,0.0009,0.0003,0.0022,0.0058,0.0058,0.0056,0.0059,0.0059,0.0057,0.0016,0.0015,0.001,0.2272,0.4958,0.5371,0.3832,0.7065,0.8088,0.7767,0.1224,0.0781,0.1725
NW_019211454.1,11520001,11570000,11545297,18318,0.0023,0.0004,0.0014,0.0009,0.0003,0.0021,0.006,0.0062,0.0061,0.0062,0.0063,0.0063,0.0016,0.0015,0.0012,0.2289,0.5374,0.5731,0.425,0.7405,0.8236,0.7953,0.1413,0.1027,0.2323
NW_019211454.1,11540001,11590000,11565218,18616,0.0026,0.0005,0.0016,0.0008,0.0003,0.0024,0.0067,0.0068,0.0067,0.007,0.0071,0.0069,0.0016,0.0014,0.001,0.2408,0.5331,0.575,0.4158,0.7397,0.8331,0.7933,0.1119,0.0764,0.1867
NW_019211454.1,11560001,11610000,11584204,18446,0.0027,0.0005,0.0021,0.001,0.0003,0.0026,0.0077,0.0078,0.0077,0.0076,0.0078,0.0076,0.0019,0.0017,0.0011,0.2394,0.5228,0.5976,0.4455,0.6995,0.828,0.7927,0.0881,0.061,0.1762
NW_019211454.1,11580001,11630000,11605240,18150,0.0026,0.0004,0.0024,0.001,0.0004,0.0025,0.0074,0.0073,0.0075,0.0074,0.0073,0.0074,0.0021,0.0021,0.0013,0.249,0.492,0.5821,0.4432,0.6709,0.8264,0.8089,0.0803,0.0668,0.19
NW_019211454.1,11600001,11650000,11624915,17760,0.0024,0.0004,0.0023,0.0009,0.0006,0.0022,0.0065,0.0065,0.0067,0.0065,0.0065,0.0067,0.002,0.0022,0.0014,0.2456,0.471,0.577,0.4329,0.6535,0.829,0.8026,0.0845,0.0745,0.2198
NW_019211454.1,11620001,11670000,11645606,17965,0.0021,0.0004,0.0016,0.0008,0.0007,0.002,0.0053,0.0054,0.0056,0.0054,0.0054,0.0056,0.0014,0.0017,0.0012,0.2432,0.4857,0.5562,0.3974,0.6861,0.8187,0.7581,0.0754,0.0852,0.1866
NW_019211454.1,11640001,11690000,11665689,18734,0.0022,0.0004,0.0014,0.0008,0.0006,0.0023,0.0052,0.0054,0.0054,0.0055,0.0056,0.0057,0.0014,0.0015,0.0011,0.2735,0.4884,0.5418,0.3843,0.7011,0.8037,0.7426,0.0781,0.0712,0.1361
NW_019211454.1,11660001,11710000,11684374,18896,0.0025,0.0004,0.0016,0.0009,0.0007,0.0023,0.0057,0.0058,0.0058,0.0056,0.0057,0.0057,0.0015,0.0015,0.0012,0.242,0.4829,0.5322,0.3706,0.6922,0.8056,0.7509,0.0855,0.0612,0.1529
NW_019211454.1,11680001,11730000,11704548,18556,0.0026,0.0005,0.002,0.0011,0.0007,0.0023,0.0061,0.0062,0.006,0.006,0.006,0.0059,0.0018,0.0018,0.0014,0.2163,0.4609,0.5264,0.3697,0.6523,0.7799,0.7259,0.0796,0.0613,0.1482
